Location,country,"crude_HTN_cov
",eff_HTN_cov
Afghanistan,Afghanistan,0.04,0.02
Albania,Albania,0.31,0.12
Algeria,Algeria,0.27,0.11
American Samoa,American Samoa,0.64,0.32
Andorra,Andorra,0.77,0.46
Angola,Angola,0.30,0.12
Antigua and Barbuda,Antigua and Barbuda,0.61,0.30
Argentina,Argentina,0.60,0.29
Armenia,Armenia,0.27,0.10
Australia,Australia,0.85,0.57
Austria,Austria,0.84,0.55
Azerbaijan,Azerbaijan,0.29,0.12
The Bahamas,Bahamas,0.72,0.40
Bahrain,Bahrain,0.72,0.39
Bangladesh,Bangladesh,0.12,0.05
Barbados,Barbados,0.62,0.30
Belarus,Belarus,0.37,0.15
Belgium,Belgium,0.82,0.53
Belize,Belize,0.32,0.13
Benin,Benin,0.07,0.03
Bermuda,Bermuda,0.94,0.75
Bhutan,Bhutan,0.21,0.08
Bolivia,Bolivia (Plurinational State of),0.24,0.09
Bosnia and Herzegovina,Bosnia and Herzegovina,0.32,0.13
Botswana,Botswana,0.44,0.19
Brazil,Brazil,0.49,0.22
Brunei,Brunei Darussalam,0.73,0.41
Bulgaria,Bulgaria,0.44,0.19
Burkina Faso,Burkina Faso,0.05,0.02
Burundi,Burundi,0.03,0.01
Cambodia,Cambodia,0.11,0.04
Cameroon,Cameroon,0.10,0.04
Canada,Canada,0.83,0.53
Cape Verde,Cabo Verde,0.24,0.09
Central African Republic,Central African Republic,0.03,0.01
Chad,Chad,0.06,0.02
Chile,Chile,0.60,0.29
China,China,0.46,0.20
Colombia,Colombia,0.38,0.16
Comoros,Comoros,0.06,0.02
Congo,Congo,0.13,0.05
Costa Rica,Costa Rica,0.54,0.25
Cote d'Ivoire,C??te d'Ivoire,0.12,0.05
Croatia,Croatia,0.57,0.27
Cuba,Cuba,0.21,0.08
Cyprus,Cyprus,0.71,0.39
Czech Republic,Czechia,0.68,0.36
Democratic Republic of the Congo,Democratic Republic of the Congo,0.04,0.02
Denmark,Denmark,0.86,0.59
Djibouti,Djibouti,0.15,0.06
Dominica,Dominica,0.45,0.19
Dominican Republic,Dominican Republic,0.42,0.18
Ecuador,Ecuador,0.37,0.15
Egypt,Egypt,0.18,0.07
El Salvador,El Salvador,0.29,0.12
Equatorial Guinea,Equatorial Guinea,0.54,0.25
Eritrea,Eritrea,0.03,0.01
Estonia,Estonia,0.68,0.35
Ethiopia,Ethiopia,0.06,0.02
Fiji,Fiji,0.34,0.14
Finland,Finland,0.83,0.54
France,France,0.81,0.50
Gabon,Gabon,0.41,0.17
The Gambia,Gambia,0.04,0.02
Georgia,Georgia,0.27,0.11
Germany,Germany,0.82,0.53
Ghana,Ghana,0.12,0.05
Greece,Greece,0.66,0.34
Greenland,Greenland,0.92,0.71
Grenada,Grenada,0.49,0.22
Guam,Guam,0.85,0.57
Guatemala,Guatemala,0.30,0.12
Guinea,Guinea,0.05,0.02
Guinea-Bissau,Guinea-Bissau,0.06,0.02
Guyana,Guyana,0.28,0.11
Haiti,Haiti,0.06,0.03
Honduras,Honduras,0.19,0.08
Hungary,Hungary,0.59,0.28
Iceland,Iceland,0.88,0.63
India,India,0.15,0.06
Indonesia,Indonesia,0.26,0.10
Iran,Iran (Islamic Republic of),0.33,0.13
Iraq,Iraq,0.31,0.12
