"Country","Sex","Age","Year","Variable","Prevalence or proportion","Lower limit of 95% credible interval","Upper limit of 95% credible interval","Posterior standard deviation"
"Afghanistan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.452542052969272,0.355429380647308,0.551308469945513,0.0491194991573005
"Albania","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.407638763359592,0.327183274536613,0.488712610574534,0.041158731584393
"Algeria","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.374115136576498,0.295914050545308,0.457228796923042,0.0413195468005064
"American Samoa","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.455464546779664,0.311783663290237,0.595611442672523,0.0719859751265821
"Andorra","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.26168340852386,0.152458460297426,0.386679510018025,0.0595570896412226
"Angola","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.40831833948627,0.271658725071125,0.561170308806786,0.0738384046888811
"Antigua and Barbuda","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.431860288846002,0.28042865010129,0.592400306761551,0.0797858691930589
"Argentina","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.412314283160141,0.337161633707762,0.493449526265484,0.0399100742127915
"Armenia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.462255181631345,0.369213793396468,0.554789089371631,0.0475832280073153
"Australia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.263124684278127,0.210016810104037,0.323324836860195,0.0291258622304935
"Austria","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.302248154137041,0.193137854267072,0.427945366237619,0.0603439175428261
"Azerbaijan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.421428492655184,0.334279734970048,0.513178210058151,0.04530461065941
"Bahamas","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.436392710215799,0.309780473306928,0.571643423168002,0.0664433776407298
"Bahrain","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.353345153744967,0.235108965965337,0.491953264115746,0.0659639096514155
"Bangladesh","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.342227304459191,0.282269022736271,0.407175935989072,0.0320621943408302
"Barbados","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.432790898877353,0.318618654660879,0.56056553565887,0.0617554121893181
"Belarus","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.466321428094011,0.380852792862508,0.55341682644262,0.0435750442709315
"Belgium","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.261173975451774,0.205433889660926,0.321944845718395,0.0301999534048057
"Belize","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.380354478316499,0.245153421436941,0.531511650809125,0.0730027200964474
"Benin","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.329806790008262,0.260730593202116,0.403739128385964,0.0361662838846558
"Bermuda","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.431580833622403,0.282963405027611,0.589357997503925,0.0794505150935536
"Bhutan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.430426997230287,0.355768624267448,0.507322996410796,0.0390485400345134
"Bolivia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.271954876510479,0.147846336811619,0.42621805801005,0.0723717363957511
"Bosnia and Herzegovina","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.413138769227721,0.301789923116327,0.532408401220029,0.0579488064789305
"Botswana","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.470008135857688,0.350109016154078,0.593907661326976,0.0613835318371355
"Brazil","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.420829871525265,0.351080529511995,0.489313043010355,0.0351890802582571
"Brunei Darussalam","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.455730456337994,0.363719839661638,0.549572424894785,0.0469502588628185
