iso3,location,Aware,Treated,Controlled
AFG,Afghanistan,0.37,0.22,0.07
AGO,Angola,0.54,0.44,0.17
ALB,Albania,0.6,0.52,0.22
AND,Andorra,0.77,0.8,0.5
ARE,United Arab Emirates,0.77,0.79,0.49
ARG,Argentina,0.66,0.62,0.3
ARM,Armenia,0.58,0.5,0.21
ASM,American Samoa,0.67,0.64,0.32
ATG,Antigua and Barbuda,0.7,0.69,0.36
AUS,Australia,0.79,0.81,0.53
AUT,Austria,0.78,0.81,0.52
AZE,Azerbaijan,0.59,0.51,0.21
BDI,Burundi,0.33,0.18,0.05
BEL,Belgium,0.78,0.8,0.5
BEN,Benin,0.44,0.29,0.1
BFA,Burkina Faso,0.4,0.25,0.08
BGD,Bangladesh,0.49,0.37,0.13
BGR,Bulgaria,0.65,0.61,0.29
BHR,Bahrain,0.73,0.73,0.42
BHS,The Bahamas,0.75,0.76,0.46
BIH,Bosnia and Herzegovina,0.61,0.54,0.23
BLR,Belarus,0.62,0.56,0.25
BLZ,Belize,0.59,0.52,0.22
BMU,Bermuda,0.83,0.87,0.63
BOL,Bolivia,0.56,0.47,0.19
BRA,Brazil,0.64,0.6,0.28
BRB,Barbados,0.71,0.7,0.37
BRN,Brunei,0.74,0.75,0.44
BTN,Bhutan,0.56,0.46,0.18
BWA,Botswana,0.63,0.58,0.27
CAF,Central African Republic,0.36,0.21,0.06
CAN,Canada,0.78,0.8,0.51
CHE,Switzerland,0.81,0.85,0.59
CHL,Chile,0.69,0.68,0.35
CHN,China,0.65,0.61,0.29
CIV,Cote d'Ivoire,0.48,0.36,0.13
CMR,Cameroon,0.48,0.35,0.12
COD,Democratic Republic of the Congo,0.38,0.22,0.07
COG,Congo,0.51,0.4,0.15
COK,Cook Islands,0.72,0.71,0.39
COL,Colombia,0.62,0.55,0.25
COM,Comoros,0.47,0.34,0.12
CPV,Cape Verde,0.56,0.47,0.19
CRI,Costa Rica,0.67,0.64,0.32
CUB,Cuba,0.65,0.6,0.28
CYP,Cyprus,0.73,0.73,0.42
CZE,Czech Republic,0.73,0.72,0.4
DEU,Germany,0.78,0.8,0.51
DJI,Djibouti,0.52,0.41,0.16
DMA,Dominica,0.63,0.58,0.26
DNK,Denmark,0.79,0.82,0.54
DOM,Dominican Republic,0.64,0.59,0.27
DZA,Algeria,0.57,0.49,0.2
ECU,Ecuador,0.62,0.55,0.25
EGY,Egypt,0.54,0.43,0.17
ERI,Eritrea,0.39,0.24,0.08
ESP,Spain,0.74,0.75,0.44
EST,Estonia,0.72,0.72,0.4
ETH,Ethiopia,0.42,0.27,0.09
FIN,Finland,0.78,0.8,0.51
FJI,Fiji,0.61,0.54,0.24
FRA,France,0.77,0.79,0.49
FSM,Federated States of Micronesia,0.56,0.47,0.19
GAB,Gabon,0.64,0.59,0.27
GBR,United Kingdom,0.77,0.79,0.49
GEO,Georgia,0.57,0.49,0.2
GHA,Ghana,0.5,0.38,0.14
GIN,Guinea,0.44,0.3,0.1
GMB,The Gambia,0.4,0.25,0.08
GNB,Guinea-Bissau,0.41,0.26,0.08
GNQ,Equatorial Guinea,0.66,0.62,0.3
GRC,Greece,0.71,0.7,0.38
GRD,Grenada,0.67,0.63,0.31
GRL,Greenland,0.79,0.81,0.53
GTM,Guatemala,0.58,0.51,0.21
GUM,Guam,0.76,0.78,0.48
GUY,Guyana,0.59,0.52,0.22
HND,Honduras,0.53,0.42,0.16
HRV,Croatia,0.69,0.67,0.34
HTI,Haiti,0.41,0.27,0.09
HUN,Hungary,0.7,0.69,0.36
IDN,Indonesia,0.57,0.48,0.2
IND,India,0.51,0.39,0.14
IRL,Ireland,0.81,0.84,0.58
IRN,Iran,0.62,0.56,0.25
IRQ,Iraq,0.6,0.54,0.23
ISL,Iceland,0.8,0.83,0.56
ISR,Israel,0.77,0.79,0.5
ITA,Italy,0.75,0.77,0.46
JAM,Jamaica,0.6,0.53,0.23
JOR,Jordan,0.58,0.5,0.21
JPN,Japan,0.77,0.79,0.49
KAZ,Kazakhstan,0.65,0.6,0.28
KEN,Kenya,0.5,0.38,0.14
KGZ,Kyrgyzstan,0.46,0.33,0.11
KHM,Cambodia,0.48,0.35,0.12
KIR,Kiribati,0.48,0.35,0.12
KNA,St Kitts and Nevis,0.71,0.7,0.37
KOR,South Korea,0.75,0.76,0.45
KWT,Kuwait,0.75,0.76,0.45
LAO,Laos,0.53,0.42,0.16
LBN,Lebanon,0.65,0.61,0.29
LBR,Liberia,0.39,0.24,0.08
LBY,Libya,0.62,0.57,0.26
LCA,Saint Lucia,0.66,0.63,0.31
LKA,Sri Lanka,0.57,0.48,0.2
LSO,Lesotho,0.46,0.32,0.11
LTU,Lithuania,0.71,0.7,0.37
LUX,Luxembourg,0.83,0.87,0.63
LVA,Latvia,0.7,0.69,0.37
MAR,Morocco,0.55,0.46,0.18
MCO,Monaco,0.86,0.9,0.7
MDA,Moldova,0.54,0.44,0.17
MDG,Madagascar,0.37,0.21,0.07
MDV,Maldives,0.68,0.65,0.33
MEX,Mexico,0.66,0.62,0.3
MHL,Marshall Islands,0.57,0.48,0.19
MKD,Macedonia,0.61,0.54,0.24
MLI,Mali,0.43,0.29,0.1
MLT,Malta,0.75,0.76,0.44
MMR,Myanmar,0.46,0.32,0.11
MNE,Montenegro,0.64,0.59,0.28
MNG,Mongolia,0.57,0.49,0.2
MNP,Northern Mariana Islands,0.74,0.75,0.44
MOZ,Mozambique,0.37,0.22,0.07
MRT,Mauritania,0.46,0.32,0.11
MUS,Mauritius,0.67,0.63,0.31
MWI,Malawi,0.35,0.19,0.06
MYS,Malaysia,0.66,0.63,0.31
NAM,Namibia,0.61,0.54,0.23
NER,Niger,0.35,0.19,0.06
NGA,Nigeria,0.52,0.4,0.15
NIC,Nicaragua,0.51,0.39,0.14
NIU,Niue,0.71,0.7,0.38
NLD,Netherlands,0.78,0.81,0.52
NOR,Norway,0.81,0.84,0.58
NPL,Nepal,0.43,0.29,0.1
NRU,Nauru,0.68,0.65,0.32
NZL,New Zealand,0.77,0.79,0.49
OMN,Oman,0.7,0.69,0.36
PAK,Pakistan,0.47,0.33,0.12
PAN,Panama,0.7,0.68,0.35
PER,Peru,0.62,0.57,0.25
PHL,Philippines,0.55,0.45,0.18
PLW,Palau,0.7,0.68,0.35
PNG,Papua New Guinea,0.53,0.42,0.16
POL,Poland,0.69,0.67,0.34
PRI,Puerto Rico,0.75,0.76,0.45
PRK,North Korea,0.47,0.34,0.12
