"location","cause","sex","IRadjust","CFadjust","CFAARC"
"Afghanistan","hhd","Female",0.95,0.9,1
"Afghanistan","hhd","Male",0.95,0.9,1
"Afghanistan","hstroke","Female",0.95,0.85,0.97
"Afghanistan","hstroke","Male",0.95,0.8,0.98
"Afghanistan","ihd","Female",0.95,0.85,0.98
"Afghanistan","ihd","Male",0.95,0.9,0.98
"Afghanistan","istroke","Female",0.95,0.7,0.98
"Afghanistan","istroke","Male",0.95,0.7,0.99
"Albania","hhd","Female",0.85,0.9,1.02
"Albania","hhd","Male",0.8,0.85,1.02
"Albania","hstroke","Female",0.7,0.95,0.98
"Albania","hstroke","Male",0.75,0.95,0.95
"Albania","ihd","Female",0.75,0.8,0.98
"Albania","ihd","Male",0.75,0.8,0.97
"Albania","istroke","Female",0.8,0.8,0.97
"Albania","istroke","Male",0.8,0.8,0.95
"Algeria","hhd","Female",0.75,0.7,1.01
"Algeria","hhd","Male",0.85,0.75,1.01
"Algeria","hstroke","Female",0.75,0.75,0.97
"Algeria","hstroke","Male",0.75,0.75,0.99
"Algeria","ihd","Female",0.7,0.7,0.98
"Algeria","ihd","Male",0.8,0.8,0.99
"Algeria","istroke","Female",0.75,0.7,0.95
"Algeria","istroke","Male",0.8,0.7,0.97
"Angola","hhd","Female",0.8,0.85,1.01
"Angola","hhd","Male",0.8,0.85,1.02
"Angola","hstroke","Female",0.8,0.85,0.96
"Angola","hstroke","Male",0.8,0.85,0.99
"Angola","ihd","Female",0.85,0.9,0.97
"Angola","ihd","Male",0.85,0.9,0.99
"Angola","istroke","Female",0.85,0.8,0.97
"Angola","istroke","Male",0.85,0.8,0.98
"Antigua and Barbuda","hhd","Female",0.8,0.95,1.02
"Antigua and Barbuda","hhd","Male",0.85,0.9,1.02
"Antigua and Barbuda","hstroke","Female",0.8,0.9,0.97
"Antigua and Barbuda","hstroke","Male",0.8,0.85,0.97
"Antigua and Barbuda","ihd","Female",0.75,0.8,0.99
"Antigua and Barbuda","ihd","Male",0.85,0.8,0.99
"Antigua and Barbuda","istroke","Female",0.75,0.75,0.98
"Antigua and Barbuda","istroke","Male",0.85,0.75,0.97
"Argentina","hhd","Female",0.85,0.85,1.02
"Argentina","hhd","Male",0.9,0.9,1
"Argentina","hstroke","Female",0.8,0.85,0.98
"Argentina","hstroke","Male",0.8,0.85,0.99
"Argentina","ihd","Female",0.8,0.85,0.98
"Argentina","ihd","Male",0.85,0.9,0.98
"Argentina","istroke","Female",0.85,0.75,0.98
"Argentina","istroke","Male",0.85,0.75,0.98
"Armenia","hhd","Female",0.75,0.8,1.02
"Armenia","hhd","Male",0.75,0.8,1.02
"Armenia","hstroke","Female",0.7,0.95,0.98
"Armenia","hstroke","Male",0.7,0.9,0.99
"Armenia","ihd","Female",0.7,0.85,0.97
"Armenia","ihd","Male",0.7,0.8,0.98
"Armenia","istroke","Female",0.7,0.85,0.98
"Armenia","istroke","Male",0.7,0.8,0.97
"Australia","hhd","Female",0.85,0.95,1.02
"Australia","hhd","Male",0.7,0.95,1.02
"Australia","hstroke","Female",0.85,0.75,0.96
"Australia","hstroke","Male",0.8,0.8,0.96
"Australia","ihd","Female",0.85,0.75,0.99
"Australia","ihd","Male",0.85,0.75,0.99
"Australia","istroke","Female",0.85,0.7,0.98
"Australia","istroke","Male",0.8,0.7,0.96
"Austria","hhd","Female",0.9,0.95,1.01
"Austria","hhd","Male",0.85,0.9,1
"Austria","hstroke","Female",0.8,0.8,0.99
"Austria","hstroke","Male",0.8,0.75,0.97
"Austria","ihd","Female",0.75,0.7,0.98
"Austria","ihd","Male",0.75,0.7,0.97
"Austria","istroke","Female",0.8,0.75,1
"Austria","istroke","Male",0.75,0.75,0.99
"Azerbaijan","hhd","Female",0.75,0.8,1.02
"Azerbaijan","hhd","Male",0.8,0.85,1.01
"Azerbaijan","hstroke","Female",0.75,0.85,0.96
"Azerbaijan","hstroke","Male",0.75,0.8,0.96
"Azerbaijan","ihd","Female",0.7,0.8,0.98
"Azerbaijan","ihd","Male",0.75,0.85,0.97
"Azerbaijan","istroke","Female",0.8,0.7,0.97
"Azerbaijan","istroke","Male",0.8,0.7,0.96
"Bahrain","hhd","Female",0.9,0.75,0.99
"Bahrain","hhd","Male",0.95,0.8,0.98
"Bahrain","hstroke","Female",0.9,0.7,0.97
"Bahrain","hstroke","Male",0.95,0.7,0.95
"Bahrain","ihd","Female",0.8,0.7,0.98
"Bahrain","ihd","Male",0.85,0.75,0.97
"Bahrain","istroke","Female",0.9,0.7,0.96
"Bahrain","istroke","Male",0.95,0.8,0.95
