"sex","location","cause","IRadjust","CFadjust"
"Female","Afghanistan","hhd",0.75,0.75
"Female","Afghanistan","hstroke",0.75,0.85
"Female","Afghanistan","ihd",0.7,0.8
"Female","Afghanistan","istroke",0.8,0.75
"Male","Afghanistan","hhd",0.8,0.75
"Male","Afghanistan","hstroke",0.7,0.8
"Male","Afghanistan","ihd",0.7,0.75
"Male","Afghanistan","istroke",0.8,0.75
"Female","Albania","hhd",0.7,0.7
"Female","Albania","hstroke",0.7,1
"Female","Albania","ihd",0.7,0.7
"Female","Albania","istroke",0.85,0.75
"Male","Albania","hhd",0.7,0.8
"Male","Albania","hstroke",0.7,1
"Male","Albania","ihd",0.75,0.75
"Male","Albania","istroke",0.8,0.7
"Female","Algeria","hhd",0.75,0.7
"Female","Algeria","hstroke",0.7,0.75
"Female","Algeria","ihd",0.7,0.7
"Female","Algeria","istroke",0.75,0.7
"Male","Algeria","hhd",0.85,0.7
"Male","Algeria","hstroke",0.7,0.75
"Male","Algeria","ihd",0.75,0.75
"Male","Algeria","istroke",0.8,0.7
"Female","Angola","hhd",0.7,0.75
"Female","Angola","hstroke",0.7,0.8
"Female","Angola","ihd",0.8,0.75
"Female","Angola","istroke",0.8,0.8
"Male","Angola","hhd",0.75,0.75
"Male","Angola","hstroke",0.75,0.85
"Male","Angola","ihd",0.85,0.9
"Male","Angola","istroke",0.85,0.8
"Female","Antigua and Barbuda","hhd",0.8,0.95
"Female","Antigua and Barbuda","hstroke",0.8,0.85
"Female","Antigua and Barbuda","ihd",0.75,0.8
"Female","Antigua and Barbuda","istroke",0.8,0.75
"Male","Antigua and Barbuda","hhd",0.9,0.95
"Male","Antigua and Barbuda","hstroke",0.75,0.85
"Male","Antigua and Barbuda","ihd",0.85,0.7
"Male","Antigua and Barbuda","istroke",0.9,0.75
"Female","Argentina","hhd",0.75,0.8
"Female","Argentina","hstroke",0.75,0.8
"Female","Argentina","ihd",0.7,0.8
"Female","Argentina","istroke",0.85,0.75
"Male","Argentina","hhd",0.8,0.8
"Male","Argentina","hstroke",0.75,0.85
"Male","Argentina","ihd",0.8,0.85
"Male","Argentina","istroke",0.85,0.7
"Female","Armenia","hhd",0.75,0.8
"Female","Armenia","hstroke",0.7,1
"Female","Armenia","ihd",0.7,0.8
