location,control,change,data
Argentina,0.148289506,0.151901444,RTSL
Bangladesh,0.146529916,0.036570542,RTSL
Chile,0.337328706,,RTSL
China,0.156109958,0.007867246,RTSL
Colombia,0.329646935,0.039364409,RTSL
Cuba,0.328117446,,RTSL
Dominican Republic,0.215843049,0.098985559,RTSL
Ecuador,0.285860731,0.057518779,RTSL
Ethiopia,0.061756346,0.011665342,RTSL
India,0.147695733,,RTSL
Mexico,0.276629605,0.037347684,RTSL
Nigeria,0.110788674,0.00944469,RTSL
Panama,0.285044626,0.260073878,RTSL
Peru,0.217192425,0.063147463,RTSL
Philippines,0.170998348,0.018589993,RTSL
St Lucia,0.220498058,0.216281824,RTSL
Trinidad,0.20878719,0.121881894,RTSL
Vietnam,0.126410311,0.083814179,RTSL
PAHO,0.158325562,0.010570351,PAHO
PAHO,0.168895913,0.02169652,PAHO
India,0.147695733,0.013003146,India
India,0.160698879,0.029784415,India
