"Country.Region.World","ISO","X2000","X2019","aroc","aroc2","perc_75","perc_975","reach_base","reach_75","reach_975","refwsalt","aspwsalt","ideal","wb2021"
"Afghanistan","AFG",0.0566213565633325,0.135952522066815,0.0041753245001833,0.0041753245001833,0.00845646830557747,0.01513158791327,2113,2067,2047,2067,2046,0.864047477933185,"LIC"
"Albania","ALB",0.0325611390498184,0.0843004302289554,0.00272312058837563,0.00272312058837563,0.00845646830557747,0.01513158791327,2180,2073,2051,2073,2048,0.915699569771045,"UMIC"
"Algeria","DZA",0.0458996574380324,0.157388804393249,0.00586784983974824,0.00586784983974824,0.00845646830557747,0.01513158791327,2083,2064,2046,2064,2044,0.842611195606751,"LMIC"
"American Samoa","ASM",0.0644043164190111,0.111794663527357,0.00249422879517609,0.00249422879517609,0.00845646830557747,0.01513158791327,2183,2070,2049,2070,2049,0.888205336472643,"UMIC"
"Andorra","AND",0.139152222223264,0.336411019513099,0.0103820419626229,0.0103820419626229,0.0103820419626229,0.01513158791327,2039,2039,2034,2039,2034,0.663588980486901,"HIC"
"Angola","AGO",0.0321067781162543,0.113338829134002,0.00427537110619727,0.00427537110619727,0.00845646830557747,0.01513158791327,2116,2070,2049,2070,2047,0.886661170865998,"LMIC"
"Antigua and Barbuda","ATG",0.109129284652658,0.227683743061071,0.00623970833728491,0.00623970833728491,0.00845646830557747,0.01513158791327,2068,2056,2041,2055,2040,0.772316256938929,"HIC"
"Argentina","ARG",0.0920753909625917,0.152143718918991,0.00316149094507368,0.00316149094507368,0.00845646830557747,0.01513158791327,2136,2065,2046,2065,2044,0.847856281081009,"UMIC"
"Armenia","ARM",0.0466942182036605,0.0866485949549564,0.00210286193427873,0.00210286193427873,0.00845646830557747,0.01513158791327,2225,2073,2051,2073,2047,0.913351405045044,"UMIC"
"Australia","AUS",0.206647177126626,0.259565403070337,0.00278516978651113,0.00278516978651113,0.00845646830557747,0.01513158791327,2113,2052,2039,2051,2038,0.740434596929663,"HIC"
"Austria","AUT",0.0913401168744755,0.272866668714673,0.00955402904422095,0.00955402904422095,0.00955402904422095,0.01513158791327,2048,2048,2038,2046,2036,0.727133331285327,"HIC"
"Azerbaijan","AZE",0.0806290735493426,0.133131182140944,0.0027632688732422,0.0027632688732422,0.00845646830557747,0.01513158791327,2160,2067,2048,2067,2045,0.866868817859056,"UMIC"
"Bahamas","BHS",0.107677507660108,0.222413089529331,0.00603871483522227,0.00603871483522227,0.00845646830557747,0.01513158791327,2070,2057,2042,2055,2040,0.777586910470669,"HIC"
"Bahrain","BHR",0.0643852712795288,0.204462329196976,0.00737247673249725,0.00737247673249725,0.00845646830557747,0.01513158791327,2064,2059,2043,2059,2041,0.795537670803024,"HIC"
"Bangladesh","BGD",0.0701941895686238,0.145550134790988,0.00396610238012443,0.00396610238012443,0.00845646830557747,0.01513158791327,2115,2066,2047,2066,2045,0.854449865209012,"LMIC"
"Barbados","BRB",0.159794589149492,0.333049479029454,0.00911867841473484,0.00911867841473484,0.00911867841473484,0.01513158791327,2042,2042,2034,2041,2033,0.666950520970546,"HIC"
"Belarus","BLR",0.0495901225911822,0.101388819334147,0.00272624719699815,0.00272624719699815,0.00845646830557747,0.01513158791327,2173,2071,2050,2071,2046,0.898611180665853,"UMIC"
"Belgium","BEL",0.217995031514516,0.385172026142704,0.00879878919095724,0.00879878919095724,0.00879878919095724,0.01513158791327,2037,2037,2031,2035,2029,0.614827973857296,"HIC"
