"","year","Aspirational_Antihypertensive therapy","Aspirational_Both","Aspirational_Salt reduction","Business as usual","Progress_Antihypertensive therapy","Progress_Both","Progress_Salt reduction","aDA","rDA"
"1",2017,0,0,0,0,0,0,0,0,0
"2",2018,33773489.716264,33773489.716264,33773489.716264,33773489.716264,33773489.716264,33773489.716264,33773489.716264,0,0
"3",2019,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,0,0
"4",2020,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,0,0
"5",2021,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,0,0
"6",2022,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,0,0
"7",2023,37905603.9702574,37477144.4723347,37773536.9281291,38212652.0612255,37972057.5049363,37836006.6727713,38073987.272535,735507.588890836,376645.388454251
"8",2024,38622959.3030759,37782351.1656056,38390700.1099394,39276338.5293457,38772306.9662387,38502145.5905767,38995185.9261716,1493987.36374008,774192.93876899
"9",2025,39352604.747676,38120249.9218999,39053185.8134694,40391817.4486072,39603759.5144988,39202347.0242498,39964649.5349771,2271567.52670725,1189470.42435737
"10",2026,40096022.7611905,38493794.770823,39759812.000098,41559244.1609356,40470315.2189247,39940530.2936192,40982086.4704195,3065449.39011253,1618713.86731638
"11",2027,40848211.9731943,38899151.1069603,40501687.84023,42770689.224262,41368987.0916402,40713560.2833667,42039289.1116506,3871538.11730163,2057128.94089522
"12",2028,41616157.7374613,39731675.1877273,41746351.4612237,44027926.5367715,42307936.0851951,41529053.1948915,43137587.8506608,4296251.34904425,2498873.34187999
"13",2029,42396624.6413018,40580448.6454002,43028355.0688703,45320823.5154883,43283704.6036273,42383047.0604897,44266744.8737723,4740374.87008812,2937776.45499855
"14",2030,43204143.2773071,41457066.2707417,44351392.9230434,46656270.3773411,44309189.3892375,43287261.0069864,45433083.237141,5199204.10659938,3369009.37035471
"15",2031,44044950.2035027,42365298.5031806,45712351.5267265,48031286.8440579,45387617.1480715,44381162.5978401,46801074.72133,5665988.3408773,3650124.24621788
"16",2032,44921953.3223162,43306674.1487568,47102951.1710872,49437103.956476,46516659.3014406,45524078.6887145,48200605.7450657,6130429.80771916,3913025.26776146
"17",2033,45850298.8732873,44294672.6882867,48528771.6019164,50879088.0394652,47705313.9183568,46724478.2856052,49636261.8843981,6584415.35117847,4154609.75385991
"18",2034,46821197.4242991,45320211.0369749,49971628.0605808,52337405.6251086,48937591.0618906,47966722.119467,51088728.8169911,7017194.5881337,4370683.50564164
"19",2035,47850648.7187041,46399238.7591089,51440289.4708202,53820183.0588959,50223592.6420289,49260615.4711791,52566274.5991307,7420944.29978702,4559567.58771685
"20",2036,48933094.0492234,47526069.1435764,52923759.653,55316171.620183,51552005.0096941,50595202.2917822,54057790.3124715,7790102.47660658,4720969.32840075
"21",2037,50064627.6307389,48696341.0540393,54413484.7557951,56816647.8523869,52913506.9415767,51961345.6919834,55554666.9834388,8120306.79834759,4855302.1604035
"22",2038,51250837.3531363,49915476.8772092,55913334.6581829,58324995.9878176,54310928.0456522,53361621.7164159,57060523.5933617,8409519.11060844,4963374.27140172
"23",2039,52473002.0870305,51164720.2417873,57404302.1907622,59822501.8908569,55722428.3704016,54774742.591405,58556486.7060159,8657781.64906961,5047759.29945187
"24",2040,53730152.3107001,52443729.0103778,58888411.956437,61314052.97936,57145537.506161,56198635.2115394,60046059.2838277,8870323.96898216,5115417.7678206
"25",2041,55011258.9556648,53740200.302953,60358345.1746597,62788636.2747842,58571977.8408198,57624205.234937,61520030.5809611,9048435.97183117,5164431.03984718
"26",2042,56302298.2319366,55042674.6574097,61803424.5607937,64240460.9490604,59985175.8481226,59036208.823902,62970202.1885343,9197786.29165071,5204252.1251584
"27",2043,57581837.8364021,56328037.8895626,63209617.9670387,65653852.7842239,61369375.8672756,60417912.6177072,64381636.0138471,9325814.8946613,5235940.16651667
"28",2044,58885256.4159546,57633098.0020828,64617257.5555272,67070180.6703588,62761922.451844,61806752.6046188,65795245.2268578,9437082.668276,5263428.06574
"29",2045,60202621.9635396,58947003.7095499,66024008.3423856,68489498.6152077,64157583.9166063,63197178.237331,67209810.4412242,9542494.90565772,5292320.37787665
"30",2046,61556093.9842943,60293819.1068713,67451059.8206097,69929555.6953488,65578825.3089291,64612098.9718702,68644836.2059764,9635736.58847751,5317456.72347856
"31",2047,62915069.8502281,61642190.2433233,68874607.04638,71368186.5394277,66998168.9113456,66023798.4348228,70077387.2412018,9725996.29610433,5344388.10460488
"32",2048,64297088.9116391,63012192.8576415,70306950.9231446,72813709.4131736,68430823.649207,67448821.0146956,71517742.7406606,9801516.55553216,5364888.39847802
"33",2049,65690652.7877004,64393356.7703245,71736571.376333,74253274.5577357,69864908.0343682,68875921.1878591,72953725.6830562,9859917.78741112,5377353.36987658
"34",2050,67081581.4416118,65772945.9927011,73148154.9313833,75670611.2731783,71284839.0994487,70290433.5317174,74369598.2452529,9897665.28047715,5380177.74146083
