"","location","wb2021","year","Scenario","x50q30"
"1","Afghanistan","LIC",2022,"Aspirational_Antihypertensive therapy",0.48645594414541
"2","Afghanistan","LIC",2022,"Aspirational",0.48645594414541
"3","Afghanistan","LIC",2022,"Aspirational_Salt reduction",0.48645594414541
"4","Afghanistan","LIC",2022,"Business as usual",0.48645594414541
"5","Afghanistan","LIC",2022,"Progress_Antihypertensive therapy",0.48645594414541
"6","Afghanistan","LIC",2022,"Progress",0.48645594414541
"7","Afghanistan","LIC",2022,"Progress_Salt reduction",0.48645594414541
"8","Afghanistan","LIC",2023,"Aspirational_Antihypertensive therapy",0.485010419640777
"9","Afghanistan","LIC",2023,"Aspirational",0.485010419640777
"10","Afghanistan","LIC",2023,"Aspirational_Salt reduction",0.486997394582066
"11","Afghanistan","LIC",2023,"Business as usual",0.486997394582066
"12","Afghanistan","LIC",2023,"Progress_Antihypertensive therapy",0.485110301652833
"13","Afghanistan","LIC",2023,"Progress",0.485110301652833
"14","Afghanistan","LIC",2023,"Progress_Salt reduction",0.486997394582066
"15","Afghanistan","LIC",2024,"Aspirational_Antihypertensive therapy",0.481959949715635
"16","Afghanistan","LIC",2024,"Aspirational",0.48138154471415
"17","Afghanistan","LIC",2024,"Aspirational_Salt reduction",0.485947676776978
"18","Afghanistan","LIC",2024,"Business as usual",0.486541111850335
"19","Afghanistan","LIC",2024,"Progress_Antihypertensive therapy",0.482258675222194
"20","Afghanistan","LIC",2024,"Progress",0.482077000629533
"21","Afghanistan","LIC",2024,"Progress_Salt reduction",0.486354974738627
"22","Afghanistan","LIC",2025,"Aspirational_Antihypertensive therapy",0.48202521675042
"23","Afghanistan","LIC",2025,"Aspirational",0.480464520534305
"24","Afghanistan","LIC",2025,"Aspirational_Salt reduction",0.488214008977641
"25","Afghanistan","LIC",2025,"Business as usual",0.489845431973508
"26","Afghanistan","LIC",2025,"Progress_Antihypertensive therapy",0.482666652460903
"27","Afghanistan","LIC",2025,"Progress",0.482174564916246
"28","Afghanistan","LIC",2025,"Progress_Salt reduction",0.48933258885808
"29","Afghanistan","LIC",2026,"Aspirational_Antihypertensive therapy",0.475744489063718
"30","Afghanistan","LIC",2026,"Aspirational",0.472947920607726
"31","Afghanistan","LIC",2026,"Aspirational_Salt reduction",0.484383566978416
"32","Afghanistan","LIC",2026,"Business as usual",0.487369078494619
"33","Afghanistan","LIC",2026,"Progress_Antihypertensive therapy",0.476915115292516
"34","Afghanistan","LIC",2026,"Progress",0.476029325239206
"35","Afghanistan","LIC",2026,"Progress_Salt reduction",0.486428616203709
"36","Afghanistan","LIC",2027,"Aspirational_Antihypertensive therapy",0.469067346662037
"37","Afghanistan","LIC",2027,"Aspirational",0.464863521080131
"38","Afghanistan","LIC",2027,"Aspirational_Salt reduction",0.480458921756636
"39","Afghanistan","LIC",2027,"Business as usual",0.485054558515713
"40","Afghanistan","LIC",2027,"Progress_Antihypertensive therapy",0.471003060744329
"41","Afghanistan","LIC",2027,"Progress",0.469663999081766
"42","Afghanistan","LIC",2027,"Progress_Salt reduction",0.483603963588093
"43","Afghanistan","LIC",2028,"Aspirational_Antihypertensive therapy",0.462132413441551
"44","Afghanistan","LIC",2028,"Aspirational",0.456427713895797
"45","Afghanistan","LIC",2028,"Aspirational_Salt reduction",0.476582667257093
"46","Afghanistan","LIC",2028,"Business as usual",0.482986931036852
"47","Afghanistan","LIC",2028,"Progress_Antihypertensive therapy",0.465111490309698
"48","Afghanistan","LIC",2028,"Progress",0.463281490770266
"49","Afghanistan","LIC",2028,"Progress_Salt reduction",0.480961440185486
"50","Afghanistan","LIC",2029,"Aspirational_Antihypertensive therapy",0.454491706298533
"51","Afghanistan","LIC",2029,"Aspirational",0.447681781552948
"52","Afghanistan","LIC",2029,"Aspirational_Salt reduction",0.472763164146329
"53","Afghanistan","LIC",2029,"Business as usual",0.480606696488792
"54","Afghanistan","LIC",2029,"Progress_Antihypertensive therapy",0.458816516787309
"55","Afghanistan","LIC",2029,"Progress",0.456475831930459
