"","cause","intervention","wb2021","Net change in new cases","intervention2","metric","change"
"1","all cvd","Aspirational_Antihypertensive therapy","All countries",89.2422164080681,"Aspirational_Antihypertensive therapy","Change due to population growth",37.7439435978834
"2","all cvd","Aspirational_Antihypertensive therapy","HIC",47.4302389599402,"Aspirational_Antihypertensive therapy","Change due to population growth",6.35075391252988
"3","all cvd","Aspirational_Antihypertensive therapy","LIC",153.913883455669,"Aspirational_Antihypertensive therapy","Change due to population growth",141.946267250533
"4","all cvd","Aspirational_Antihypertensive therapy","LMIC",107.695660406116,"Aspirational_Antihypertensive therapy","Change due to population growth",58.2774639613104
"5","all cvd","Aspirational_Antihypertensive therapy","UMIC",82.3420104181666,"Aspirational_Antihypertensive therapy","Change due to population growth",14.0418480582005
"6","all cvd","Aspirational","All countries",85.5504567998428,"Aspirational","Change due to population growth",37.8931550492724
"7","all cvd","Aspirational","HIC",43.1187697358366,"Aspirational","Change due to population growth",6.43056979119403
"8","all cvd","Aspirational","LIC",150.473999292567,"Aspirational","Change due to population growth",142.052906786046
"9","all cvd","Aspirational","LMIC",103.754941286656,"Aspirational","Change due to population growth",58.4401226779882
"10","all cvd","Aspirational","UMIC",79.0297497964741,"Aspirational","Change due to population growth",14.2138118263988
"11","all cvd","Aspirational_Salt reduction","All countries",106.356479198758,"Aspirational_Salt reduction","Change due to population growth",36.6797317267003
"12","all cvd","Aspirational_Salt reduction","HIC",57.7270497439061,"Aspirational_Salt reduction","Change due to population growth",5.98392336456094
"13","all cvd","Aspirational_Salt reduction","LIC",192.352096111523,"Aspirational_Salt reduction","Change due to population growth",140.667225782502
"14","all cvd","Aspirational_Salt reduction","LMIC",126.8196653462,"Aspirational_Salt reduction","Change due to population growth",57.1634356821938
"15","all cvd","Aspirational_Salt reduction","UMIC",98.1199591978199,"Aspirational_Salt reduction","Change due to population growth",12.7631843336787
"16","all cvd","Business as usual","All countries",113.472519379316,"Business as usual","Change due to population growth",36.4122199494841
"17","all cvd","Business as usual","HIC",64.9724940031067,"Business as usual","Change due to population growth",5.85115643760865
"18","all cvd","Business as usual","LIC",199.342708708813,"Business as usual","Change due to population growth",140.481091178652
"19","all cvd","Business as usual","LMIC",134.631419459885,"Business as usual","Change due to population growth",56.8838563304662
"20","all cvd","Business as usual","UMIC",104.651251760404,"Business as usual","Change due to population growth",12.437458686754
"21","all cvd","Progress_Antihypertensive therapy","All countries",101.099924264816,"Progress_Antihypertensive therapy","Change due to population growth",37.2134059000114
"22","all cvd","Progress_Antihypertensive therapy","HIC",58.5865884425443,"Progress_Antihypertensive therapy","Change due to population growth",6.04556651982104
"23","all cvd","Progress_Antihypertensive therapy","LIC",173.813859711594,"Progress_Antihypertensive therapy","Change due to population growth",141.416597906433
