"","cause","intervention","wb2021","Net change in CVD deaths","intervention2","metric","change"
"1","all cvd","Aspirational_Antihypertensive therapy","All countries",76.0086521931981,"Aspirational_Antihypertensive therapy","Change due to population growth",37.7439435978834
"2","all cvd","Aspirational_Antihypertensive therapy","HIC",21.536592328692,"Aspirational_Antihypertensive therapy","Change due to population growth",6.3507539125299
"3","all cvd","Aspirational_Antihypertensive therapy","LIC",118.452839198287,"Aspirational_Antihypertensive therapy","Change due to population growth",141.946267250533
"4","all cvd","Aspirational_Antihypertensive therapy","LMIC",91.3745337722538,"Aspirational_Antihypertensive therapy","Change due to population growth",58.2774639613105
"5","all cvd","Aspirational_Antihypertensive therapy","UMIC",76.8939976882408,"Aspirational_Antihypertensive therapy","Change due to population growth",14.0418480582004
"6","all cvd","Aspirational","All countries",71.9803107118427,"Aspirational","Change due to population growth",37.8931550492724
"7","all cvd","Aspirational","HIC",17.937685178341,"Aspirational","Change due to population growth",6.43056979119404
"8","all cvd","Aspirational","LIC",114.973625259541,"Aspirational","Change due to population growth",142.052906786046
"9","all cvd","Aspirational","LMIC",87.0680244252635,"Aspirational","Change due to population growth",58.4401226779882
"10","all cvd","Aspirational","UMIC",72.896267393301,"Aspirational","Change due to population growth",14.2138118263988
"11","all cvd","Aspirational_Salt reduction","All countries",112.39861941312,"Aspirational_Salt reduction","Change due to population growth",36.6797317267003
"12","all cvd","Aspirational_Salt reduction","HIC",38.9736404046319,"Aspirational_Salt reduction","Change due to population growth",5.98392336456095
"13","all cvd","Aspirational_Salt reduction","LIC",180.732553641726,"Aspirational_Salt reduction","Change due to population growth",140.667225782502
"14","all cvd","Aspirational_Salt reduction","LMIC",131.509034349556,"Aspirational_Salt reduction","Change due to population growth",57.1634356821938
"15","all cvd","Aspirational_Salt reduction","UMIC",113.763854898599,"Aspirational_Salt reduction","Change due to population growth",12.7631843336787
"16","all cvd","Business as usual","All countries",120.53952235086,"Business as usual","Change due to population growth",36.4122199494841
"17","all cvd","Business as usual","HIC",45.336141379246,"Business as usual","Change due to population growth",5.85115643760865
"18","all cvd","Business as usual","LIC",187.975489559359,"Business as usual","Change due to population growth",140.481091178652
"19","all cvd","Business as usual","LMIC",140.249970958741,"Business as usual","Change due to population growth",56.8838563304662
"20","all cvd","Business as usual","UMIC",122.083887314086,"Business as usual","Change due to population growth",12.437458686754
"21","all cvd","Progress_Antihypertensive therapy","All countries",95.9118359653827,"Progress_Antihypertensive therapy","Change due to population growth",37.2134059000114
"22","all cvd","Progress_Antihypertensive therapy","HIC",36.4287490231513,"Progress_Antihypertensive therapy","Change due to population growth",6.04556651982106
"23","all cvd","Progress_Antihypertensive therapy","LIC",147.249669636568,"Progress_Antihypertensive therapy","Change due to population growth",141.416597906433
"24","all cvd","Progress_Antihypertensive therapy","LMIC",111.673846838726,"Progress_Antihypertensive therapy","Change due to population growth",57.7671900540965
"25","all cvd","Progress_Antihypertensive therapy","UMIC",97.1961865003632,"Progress_Antihypertensive therapy","Change due to population growth",13.394135371152
"26","all cvd","Progress","All countries",92.9307447237317,"Progress","Change due to population growth",37.3085183525774
"27","all cvd","Progress","HIC",33.7172972993645,"Progress","Change due to population growth",6.10071617150045
"28","all cvd","Progress","LIC",144.45027255269,"Progress","Change due to population growth",141.487776623026
"29","all cvd","Progress","LMIC",108.574227018691,"Progress","Change due to population growth",57.8657008766546
"30","all cvd","Progress","UMIC",94.2055312042328,"Progress","Change due to population growth",13.5066645864789
"31","all cvd","Progress_Salt reduction","All countries",116.382864224154,"Progress_Salt reduction","Change due to population growth",36.5440984504703
"32","all cvd","Progress_Salt reduction","HIC",42.1299808628773,"Progress_Salt reduction","Change due to population growth",5.91609347501872
"33","all cvd","Progress_Salt reduction","LIC",183.910729125245,"Progress_Salt reduction","Change due to population growth",140.581076558777
"34","all cvd","Progress_Salt reduction","LMIC",135.768340769946,"Progress_Salt reduction","Change due to population growth",57.0216622828806
"35","all cvd","Progress_Salt reduction","UMIC",117.873904460278,"Progress_Salt reduction","Change due to population growth",12.596989260837
"36","all cvd","Aspirational_Antihypertensive therapy","All countries",76.0086521931981,"Aspirational_Antihypertensive therapy","Change due to population aging",121.943434121859
"37","all cvd","Aspirational_Antihypertensive therapy","HIC",21.536592328692,"Aspirational_Antihypertensive therapy","Change due to population aging",95.5506878821727
"38","all cvd","Aspirational_Antihypertensive therapy","LIC",118.452839198287,"Aspirational_Antihypertensive therapy","Change due to population aging",123.847166483839
"39","all cvd","Aspirational_Antihypertensive therapy","LMIC",91.3745337722538,"Aspirational_Antihypertensive therapy","Change due to population aging",141.721568976633
"40","all cvd","Aspirational_Antihypertensive therapy","UMIC",76.8939976882408,"Aspirational_Antihypertensive therapy","Change due to population aging",181.948180700248
"41","all cvd","Aspirational","All countries",71.9803107118427,"Aspirational","Change due to population aging",123.762109699971
"42","all cvd","Aspirational","HIC",17.937685178341,"Aspirational","Change due to population aging",96.4888888571068
"43","all cvd","Aspirational","LIC",114.973625259541,"Aspirational","Change due to population aging",125.58239924315
"44","all cvd","Aspirational","LMIC",87.0680244252635,"Aspirational","Change due to population aging",143.748960875166
"45","all cvd","Aspirational","UMIC",72.896267393301,"Aspirational","Change due to population aging",184.752453283571
"46","all cvd","Aspirational_Salt reduction","All countries",112.39861941312,"Aspirational_Salt reduction","Change due to population aging",109.577417180609
"47","all cvd","Aspirational_Salt reduction","HIC",38.9736404046319,"Aspirational_Salt reduction","Change due to population aging",91.1200329264719
"48","all cvd","Aspirational_Salt reduction","LIC",180.732553641726,"Aspirational_Salt reduction","Change due to population aging",104.165675595744
"49","all cvd","Aspirational_Salt reduction","LMIC",131.509034349556,"Aspirational_Salt reduction","Change due to population aging",128.603453900023
