"","year","intervention","pop","sick","dead","all.mx","newcases"
"1",2020,"Aspirational_Antihypertensive therapy",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"2",2020,"Aspirational_Both",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"3",2020,"Aspirational_Salt reduction",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"4",2020,"Business as usual",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"5",2020,"Progress_Antihypertensive therapy",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"6",2020,"Progress_Both",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"7",2020,"Progress_Salt reduction",5194095995.16454,317120910.481186,16862904.4061488,50391929.2635788,35447471.8775022
"8",2030,"Aspirational_Antihypertensive therapy",5897388777.97766,417733266.167433,19634602.0196866,56017202.9765135,43265656.6353134
"9",2030,"Aspirational_Both",5898666016.20645,409108738.830229,19151268.9131226,55590969.1097921,41514503.0570415
"10",2030,"Aspirational_Salt reduction",5893848270.82276,413468609.032213,20940510.6496285,57199000.1163172,44347590.5816388
"11",2030,"Business as usual",5892335626.55733,423672863.656619,21561237.7466028,57752285.9441318,46654921.7394032
"12",2030,"Progress_Antihypertensive therapy",5896197961.96227,419531698.029474,20181349.1726196,56514325.2716308,44323249.3133244
"13",2030,"Progress_Both",5896635655.44632,415865449.238445,19983115.5292304,56335759.1111135,43299738.5434186
"14",2030,"Progress_Salt reduction",5892834079.48118,419517747.734169,21322012.8868677,57535235.3871347,45430291.8790768
"15",2040,"Aspirational_Antihypertensive therapy",6586878315.7845,539093226.903147,23805802.6021325,66066088.2698513,53806235.0705896
"16",2040,"Aspirational_Both",6592058470.69339,525221502.237496,23179021.0612786,65640277.4048973,52515895.5000099
"17",2040,"Aspirational_Salt reduction",6562471448.57002,542935006.819528,28050151.2472774,69459895.3495063,58882959.8591249
"18",2040,"Business as usual",6554729278.84837,563184389.615158,29159384.6812591,70273778.8627768,61311239.031179
"19",2040,"Progress_Antihypertensive therapy",6575875472.17955,549225913.081653,25985213.4297148,67833178.2969268,57158887.520999
"20",2040,"Progress_Both",6578597356.28431,541095172.0264,25579427.3901128,67533931.7948925,56210512.5929604
"21",2040,"Progress_Salt reduction",6558289833.61741,553121358.882532,28601904.5952516,69852351.2545009,60041763.2450005
"22",2050,"Aspirational_Antihypertensive therapy",7154359027.62795,674751032.780506,29717547.7021447,76496221.3326137,67159749.3951798
"23",2050,"Aspirational_Both",7162121184.69689,658503404.758572,29036137.8252198,76097061.0725024,65847261.8986059
"24",2050,"Aspirational_Salt reduction",7099304160.31857,686753130.40683,35812689.504883,80753327.7953434,73141131.0747409
"25",2050,"Business as usual",7085399254.75189,713243253.32173,37187263.8027861,81638388.8892306,75666623.1935801
"26",2050,"Progress_Antihypertensive therapy",7126970458.98724,693167458.385564,33042425.2837449,78857653.4604727,71296413.9891242
"27",2050,"Progress_Both",7131915808.88491,682490618.691023,32538805.639665,78533711.2481863,70300467.1618507
"28",2050,"Progress_Salt reduction",7092254660.46559,699755570.122388,36485353.5512308,81176403.1422885,74363949.6585165
