"","year","Aspirational_Antihypertensive therapy","Aspirational_Both","Aspirational_Salt reduction","Business as usual","Progress_Antihypertensive therapy","Progress_Both","Progress_Salt reduction","aDA","rDA"
"1",2017,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,0,0
"2",2018,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,0,0
"3",2019,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,0,0
"4",2020,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,0,0
"5",2021,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,0,0
"6",2022,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,0,0
"7",2023,17831363.6704717,17831363.6704717,17972431.4872402,17972431.4872402,17856320.1140093,17856320.1140093,17972431.4872402,141067.816768516,116111.373230901
"8",2024,18087075.6873967,18043848.0371412,18354720.8029269,18400125.0655718,18147175.0492784,18133402.4330826,18385779.4081396,356277.028430615,266722.632489253
"9",2025,18333939.5937552,18225404.6148595,18732115.1387359,18849662.5308386,18440634.0645617,18405677.2634023,18812375.3124468,624257.915979076,443985.267436244
"10",2026,18581777.8791568,18393941.7442655,19119967.9463914,19330170.6158589,18748007.4902804,18686766.9432942,19263235.1383173,936228.87159346,643403.67256476
"11",2027,18831030.17894,18554761.9885877,19520546.2815396,19840705.7393495,19071248.7977918,18979928.7305402,19738370.49575,1285943.75076183,860777.008809377
"12",2028,19086601.5100389,18716059.8000601,19938779.2259193,20384399.9440705,19416499.8903801,19292098.9370957,20241441.3133284,1668340.14401038,1092301.00697481
"13",2029,19347378.3264031,18912245.3765687,20416367.4625071,20957141.841616,19783191.5492946,19623214.6836506,20768657.0810475,2044896.46504733,1333927.15796538
"14",2030,19619626.9343027,19137647.5497989,20941985.851812,21561578.1645693,20177405.7017146,19979656.0853341,21322828.7364206,2423930.61477036,1581922.0792352
"15",2031,19907736.0843049,19390911.8705342,21509993.7191505,22198170.4512477,20602624.249129,20364968.8306121,21904441.4295533,2807258.58071354,1833201.62063567
"16",2032,20215706.6953884,19672517.6076649,22116452.4235132,22866247.8968478,21061209.6615108,20792708.7337063,22528305.9800751,3193730.28918283,2073539.16314148
"17",2033,20549731.1591939,19986228.9164289,22760697.683546,23567143.8219111,21556967.8339652,21263151.9152188,23191298.6306668,3580914.90548218,2303991.90669228
"18",2034,20910177.2975841,20330888.9186747,23436471.953116,24295553.1589986,22087069.5258426,21771714.9307688,23886133.330422,3964664.24032391,2523838.22822975
"19",2035,21304021.4062673,20712223.2085088,24145473.787502,25053833.3649114,22655493.3988048,22321286.671011,24614048.5794408,4341610.1564026,2732546.69390034
"20",2036,21730124.0195238,21128456.2724461,24881709.792089,25836046.7165462,23258005.4518831,22907001.5485876,25368609.5813516,4707590.44410015,2929045.1679586
"21",2037,22191781.3394651,21582317.3281887,25644763.4221148,26641926.9528634,23895266.7283608,23529070.9731691,26149177.4812316,5059609.62467472,3112855.9796944
"22",2038,22690118.2629973,22074357.6365775,26432739.6779725,27469861.17129,24566115.7282558,24185972.9433056,26953821.0478887,5395503.53471248,3283888.22798439
"23",2039,23221148.8284877,22600336.3112204,27238505.0928436,28312470.5794604,25264027.9556517,24870984.7499471,27775154.9299169,5712134.26824001,3441485.82951332
"24",2040,23777474.4402657,23152438.4389946,28052756.9417842,29160573.1840249,25979809.819048,25574776.3130014,28603865.631606,6008134.74503032,3585796.87102354
"25",2041,24351263.8832136,23722463.105675,28867294.9112436,30006769.1377153,26704352.9043101,26288118.0391486,29432115.8913141,6284306.0320403,3718651.09856674
"26",2042,24926913.3065393,24294414.7524181,29666316.6389325,30834863.8901329,27421060.4198513,26994264.0575742,30243870.9252899,6540449.13771478,3840599.83255873
"27",2043,25482736.5697103,24847112.9958873,30427629.5784834,31622535.4920708,28106292.4174425,27669971.5352222,31016839.6946038,6775422.49618353,3952563.9568486
"28",2044,26053412.9094675,25414306.9983382,31190372.5203916,32410560.5724925,28797974.1827407,28352488.9026477,31790888.3830218,6996253.57415427,4058071.66984474
"29",2045,26623609.6966268,25980071.5449517,31942713.4624331,33187933.2543994,29482071.0877773,29027378.9565515,32554626.4943703,7207861.7094477,4160554.29784787
"30",2046,27229198.1633107,26580511.0947055,32722266.5850934,33992621.1187125,30195963.3833136,29732075.2237261,33345729.6906884,7412110.02400699,4260545.89498637
"31",2047,27821356.1228167,27166235.9340763,33482311.0107251,34778610.2970163,30891288.4437371,30417854.1552084,34117886.9603689,7612374.36293999,4360756.14180784
"32",2048,28431590.2491447,27769084.0148831,34256163.2679795,35578607.2752455,31600970.9063907,31117787.6044518,34904055.5660423,7809523.26036235,4460819.67079362
"33",2049,29051405.0707523,28380681.7782796,35034879.0182807,36383202.1192735,32316409.2479225,31823360.0935799,35695055.976509,8002520.3409939,4559842.02569354
"34",2050,29680170.7658899,29000875.3927357,35816576.1516142,37189368.8318027,33036425.6191735,32533727.0528338,36488435.5454058,8188493.43906698,4655641.77896886
