"","year","Aspirational_Antihypertensive therapy","Aspirational_Both","Aspirational_Salt reduction","Business as usual","Progress_Antihypertensive therapy","Progress_Both","Progress_Salt reduction","aDA","rDA"
"1",2017,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,15838149.9814369,0,0
"2",2018,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,15364182.0648599,0,0
"3",2019,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,16415720.0063998,0,0
"4",2020,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,16862904.4061488,0,0
"5",2021,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,17219178.0378283,0,0
"6",2022,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,17555697.3705343,0,0
"7",2023,17831363.6704717,17831363.6704717,17972431.4872402,17972431.4872402,17856320.1140093,17856320.1140093,17972431.4872402,141067.816768516,116111.373230901
"8",2024,18088131.9945334,18044811.460244,18354609.5005708,18400105.1469081,18147538.087159,18133736.0997918,18385730.2515195,355293.686664041,266369.047116302
"9",2025,18336738.6149181,18227951.869971,18731820.772868,18849609.7339457,18441555.0590433,18406518.8116505,18812243.8132529,621657.863974743,443090.922295179
"10",2026,18586771.5196913,18398473.0367069,19119441.4886385,19330074.7478941,18749578.656784,18688193.1518112,19262996.2611139,931601.71118715,641881.596082892
"11",2027,18838503.3248211,18561518.7548148,19519753.7597785,19840558.3979772,19073497.0309282,18981954.6086212,19738004.4753176,1279039.64316237,858603.789355941
"12",2028,19096676.2776335,18725130.2950052,19937700.6604688,20384194.0048263,19419398.278368,19294689.5089786,20240933.2015276,1659063.70982116,1089504.4958477
"13",2029,19360026.665349,18923680.0686967,20415064.5174906,20956871.2387679,19786672.3644906,19626298.2629604,20767996.6218403,2033191.17007113,1330572.97580742
"14",2030,19634602.0196866,19151268.9131226,20940510.6496285,21561237.7466028,20181349.1726196,19983115.5292304,21322012.8868677,2409968.83348021,1578122.21737244
"15",2031,19924763.1364382,19406494.845041,21508380.4763404,22197755.8318549,20606918.1938823,20368695.6859145,21903468.6598819,2791260.98681388,1829060.14594046
"16",2032,20234487.8491509,19689802.3755218,22114724.1193853,22865755.4428445,21065750.1426123,20796632.3067557,22527203.4315419,3175953.06732264,2069123.13608881
"17",2033,20569974.9870378,20004949.9470133,22758868.8110294,23566570.345131,21561666.2783633,21267205.5209423,23190083.3840429,3561620.39811766,2299364.82418868
"18",2034,20931587.2420435,20350766.2250992,23434552.2627827,24294896.0316594,22091849.1306102,21775836.255456,23884816.6080071,3944129.80656017,2519059.77620343
"19",2035,21326387.6085679,20733050.9510441,24143465.4138507,25053090.5716521,22660310.658232,22325438.9938809,24612635.3990088,4320039.62060793,2727651.57777114
"20",2036,21753419.0152797,21150197.277342,24879605.1440652,25835216.7026435,23262866.362912,22911189.8186696,25367098.074529,4685019.42530147,2924026.88397387
"21",2037,22216115.41567,21605066.6462186,25642549.9266757,26641008.5138985,23900207.5014069,23533326.3088853,26147561.9302142,5035941.86767997,3107682.20501324
"22",2038,22715740.1514803,22098347.3473857,26430401.1544733,27468853.2604179,24571196.1618361,24190347.9192861,26952093.0382665,5370505.91303218,3278505.34113185
"23",2039,23248096.2602839,22625597.0351585,27236035.5401463,28311372.5319043,25269262.7279707,24875491.5204884,27773311.6259676,5685775.49674582,3435881.01141591
"24",2040,23805802.6021325,23179021.0612786,28050151.2472774,29159384.6812591,25985213.4297148,25579427.3901128,28601904.5952516,5980363.61998041,3579957.29114628
"25",2041,24381162.1724063,23750554.2499257,28864545.0238851,30005490.0009587,26709956.9972894,26292942.5621836,29430033.0245403,6254935.75103302,3712547.43877511
"26",2042,24958156.7250267,24323800.8114551,29663430.1366265,30833494.1120365,27426815.2294442,26999216.8832663,30241670.8138554,6509693.30058138,3834277.2287702
"27",2043,25515095.5118761,24877573.5773416,30424613.4504938,31621075.0179181,28112150.5270714,27675009.1587515,31014526.5175348,6743501.44057654,3946065.85916667
"28",2044,26086744.3495375,25445704.0428027,31187230.0128717,32409009.2874567,28803906.1462363,28357583.8442333,31788464.1694059,6963305.24465397,4051425.44322336
"29",2045,26657769.2810314,26012263.873876,31939447.4082205,33186290.9279546,29488049.8052204,29032505.5966055,32552092.9175365,7174027.05407862,4153785.33134911
"30",2046,27264120.0512705,26613432.9942381,32718876.8479102,33990887.4024052,30201976.5303137,29737221.4011745,33343086.7506745,7377454.40816708,4253666.00123071
"31",2047,27857015.9094011,27199862.6482569,33478796.2504169,34776784.9824449,30897329.8914753,30423013.470477,34115134.069152,7576922.334188,4353771.51196784
"32",2048,28467915.8284219,27803345.3186923,34252523.5626168,35576689.6306992,31607022.9272306,31122943.0411689,34901192.6373563,7773344.31200692,4453746.58953032
"33",2049,29088324.0053388,28415508.4831226,35031114.5884475,36381191.3013256,32322451.6175437,31828492.5260742,35692082.9752039,7965682.81820301,4552698.77525146
"34",2050,29717547.7021447,29036137.8252198,35812689.504883,37187263.8027861,33042425.2837449,32538805.639665,36485353.5512308,8151125.97756634,4648458.16312113
