"wb2021","year","Scenario","x50q30"
"HIC",2019,"Aspirational_Antihypertensive therapy",0.0862568899894345
"HIC",2019,"Aspirational",0.0862568899894345
"HIC",2019,"Aspirational_Salt reduction",0.0862568899894345
"HIC",2019,"Business as usual",0.0862568899894345
"HIC",2019,"Progress_Antihypertensive therapy",0.0862568899894345
"HIC",2019,"Progress",0.0862568899894345
"HIC",2019,"Progress_Salt reduction",0.0862568899894345
"HIC",2020,"Aspirational_Antihypertensive therapy",0.0847195241069254
"HIC",2020,"Aspirational",0.0847195241069254
"HIC",2020,"Aspirational_Salt reduction",0.0847195241069254
"HIC",2020,"Business as usual",0.0847195241069254
"HIC",2020,"Progress_Antihypertensive therapy",0.0847195241069254
"HIC",2020,"Progress",0.0847195241069254
"HIC",2020,"Progress_Salt reduction",0.0847195241069254
"HIC",2021,"Aspirational_Antihypertensive therapy",0.0835355341531019
"HIC",2021,"Aspirational",0.0835355341531019
"HIC",2021,"Aspirational_Salt reduction",0.0835355341531019
"HIC",2021,"Business as usual",0.0835355341531019
"HIC",2021,"Progress_Antihypertensive therapy",0.0835355341531019
"HIC",2021,"Progress",0.0835355341531019
"HIC",2021,"Progress_Salt reduction",0.0835355341531019
"HIC",2022,"Aspirational_Antihypertensive therapy",0.0818413472100218
"HIC",2022,"Aspirational",0.0818413472100218
"HIC",2022,"Aspirational_Salt reduction",0.0818413472100218
"HIC",2022,"Business as usual",0.0818413472100218
"HIC",2022,"Progress_Antihypertensive therapy",0.0818413472100218
"HIC",2022,"Progress",0.0818413472100218
"HIC",2022,"Progress_Salt reduction",0.0818413472100218
"HIC",2023,"Aspirational_Antihypertensive therapy",0.0794092914766251
"HIC",2023,"Aspirational",0.0794092914766251
"HIC",2023,"Aspirational_Salt reduction",0.0801535210846026
"HIC",2023,"Business as usual",0.0801535210846026
"HIC",2023,"Progress_Antihypertensive therapy",0.0798059529152745
"HIC",2023,"Progress",0.0798059529152745
"HIC",2023,"Progress_Salt reduction",0.0801535210846026
"HIC",2024,"Aspirational_Antihypertensive therapy",0.0772736264117588
"HIC",2024,"Aspirational",0.0771906916769551
"HIC",2024,"Aspirational_Salt reduction",0.0787115726828307
"HIC",2024,"Business as usual",0.0787995712280898
"HIC",2024,"Progress_Antihypertensive therapy",0.0780987682616678
"HIC",2024,"Progress",0.0780718197655839
"HIC",2024,"Progress_Salt reduction",0.0787719125247622
"HIC",2025,"Aspirational_Antihypertensive therapy",0.0753141736892269
"HIC",2025,"Aspirational",0.0750900335926656
"HIC",2025,"Aspirational_Salt reduction",0.0773948701635687
"HIC",2025,"Business as usual",0.07764174629343
"HIC",2025,"Progress_Antihypertensive therapy",0.076590341726392
"HIC",2025,"Progress",0.0765155817145811
"HIC",2025,"Progress_Salt reduction",0.0775638467225187
"HIC",2026,"Aspirational_Antihypertensive therapy",0.0737465062004918
"HIC",2026,"Aspirational",0.0733390849933914
"HIC",2026,"Aspirational_Salt reduction",0.0764218344636055
"HIC",2026,"Business as usual",0.0768877789990817
"HIC",2026,"Progress_Antihypertensive therapy",0.0754926361435581
"HIC",2026,"Progress",0.0753530032099494
"HIC",2026,"Progress_Salt reduction",0.0767401689006012
"HIC",2027,"Aspirational_Antihypertensive therapy",0.0720538675098235
"HIC",2027,"Aspirational",0.071436725225609
"HIC",2027,"Aspirational_Salt reduction",0.0752526932795243
"HIC",2027,"Business as usual",0.0759851806202005
"HIC",2027,"Progress_Antihypertensive therapy",0.0742671021429463
"HIC",2027,"Progress",0.0740496797221657
"HIC",2027,"Progress_Salt reduction",0.0757521966860828
"HIC",2028,"Aspirational_Antihypertensive therapy",0.0704074928783864
"HIC",2028,"Aspirational",0.0695638373415255
"HIC",2028,"Aspirational_Salt reduction",0.0740547902471175
"HIC",2028,"Business as usual",0.07509295300727
"HIC",2028,"Progress_Antihypertensive therapy",0.0730784398040039
"HIC",2028,"Progress",0.0727728623095509
"HIC",2028,"Progress_Salt reduction",0.0747613928851222
"HIC",2029,"Aspirational_Antihypertensive therapy",0.0689265213225065
"HIC",2029,"Aspirational",0.0679018497418067
"HIC",2029,"Aspirational_Salt reduction",0.0730207552998654
"HIC",2029,"Business as usual",0.074321448774313
"HIC",2029,"Progress_Antihypertensive therapy",0.072042333367758
"HIC",2029,"Progress",0.07163977827403
"HIC",2029,"Progress_Salt reduction",0.0738798091427451
"HIC",2030,"Aspirational_Antihypertensive therapy",0.0673548360720131
"HIC",2030,"Aspirational",0.0661884920161663
"HIC",2030,"Aspirational_Salt reduction",0.0718688221345561
"HIC",2030,"Business as usual",0.0733918880203814
"HIC",2030,"Progress_Antihypertensive therapy",0.0708797948098778
"HIC",2030,"Progress",0.0703746706062368
"HIC",2030,"Progress_Salt reduction",0.072832118687028
"HIC",2031,"Aspirational_Antihypertensive therapy",0.0660144708360878
"HIC",2031,"Aspirational",0.0647332425516876
"HIC",2031,"Aspirational_Salt reduction",0.0709269965890134
"HIC",2031,"Business as usual",0.0726445217202516
"HIC",2031,"Progress_Antihypertensive therapy",0.0699222830559005
"HIC",2031,"Progress",0.0693082294953649
"HIC",2031,"Progress_Salt reduction",0.0719578964640156
"HIC",2032,"Aspirational_Antihypertensive therapy",0.0647958552194516
"HIC",2032,"Aspirational",0.0634225563661114
"HIC",2032,"Aspirational_Salt reduction",0.0700779315762965
"HIC",2032,"Business as usual",0.0719645505441467
"HIC",2032,"Progress_Antihypertensive therapy",0.0690529692662027
"HIC",2032,"Progress",0.0683462377729096
"HIC",2032,"Progress_Salt reduction",0.0711685523622874
"HIC",2033,"Aspirational_Antihypertensive therapy",0.0636194022677234
"HIC",2033,"Aspirational",0.0621734718150322
"HIC",2033,"Aspirational_Salt reduction",0.0692274789698057
"HIC",2033,"Business as usual",0.071259050840767
"HIC",2033,"Progress_Antihypertensive therapy",0.068185401325508
"HIC",2033,"Progress",0.067400172285941
"HIC",2033,"Progress_Salt reduction",0.0703693028505465
"HIC",2034,"Aspirational_Antihypertensive therapy",0.0625431470365559
"HIC",2034,"Aspirational",0.061039476234144
"HIC",2034,"Aspirational_Salt reduction",0.0684416540163219
"HIC",2034,"Business as usual",0.0705986527331069
"HIC",2034,"Progress_Antihypertensive therapy",0.0673819889950547
"HIC",2034,"Progress",0.066529768405179
"HIC",2034,"Progress_Salt reduction",0.0696278742885531
"HIC",2035,"Aspirational_Antihypertensive therapy",0.0614583220707973
"HIC",2035,"Aspirational",0.059911817506509
"HIC",2035,"Aspirational_Salt reduction",0.0676033148855687
"HIC",2035,"Business as usual",0.0698643491181791
"HIC",2035,"Progress_Antihypertensive therapy",0.0665257371979542
"HIC",2035,"Progress",0.0656180884276437
"HIC",2035,"Progress_Salt reduction",0.068825441121844
"HIC",2036,"Aspirational_Antihypertensive therapy",0.0605018664933863
"HIC",2036,"Aspirational",0.0589200254459017
"HIC",2036,"Aspirational_Salt reduction",0.0668631350841475
"HIC",2036,"Business as usual",0.0692162804428471
"HIC",2036,"Progress_Antihypertensive therapy",0.0657700199574505
"HIC",2036,"Progress",0.0648140128513914
"HIC",2036,"Progress_Salt reduction",0.0681173416118704
"HIC",2037,"Aspirational_Antihypertensive therapy",0.0596371565610497
"HIC",2037,"Aspirational",0.0580269408747971
"HIC",2037,"Aspirational_Salt reduction",0.0661915475610296
"HIC",2037,"Business as usual",0.0686256340600083
"HIC",2037,"Progress_Antihypertensive therapy",0.0650788496314725
"HIC",2037,"Progress",0.0640810311441103
"HIC",2037,"Progress_Salt reduction",0.0674739225666433
"HIC",2038,"Aspirational_Antihypertensive therapy",0.0588441818209557
"HIC",2038,"Aspirational",0.0572119452200179
"HIC",2038,"Aspirational_Salt reduction",0.065569951706808
"HIC",2038,"Business as usual",0.0680740320737138
"HIC",2038,"Progress_Antihypertensive therapy",0.0644333467333306
"HIC",2038,"Progress",0.0633998468706556
"HIC",2038,"Progress_Salt reduction",0.066876400033981
"HIC",2039,"Aspirational_Antihypertensive therapy",0.0581574056773861
"HIC",2039,"Aspirational",0.0565074672650889
"HIC",2039,"Aspirational_Salt reduction",0.0650355598028906
"HIC",2039,"Business as usual",0.0676012731644337
"HIC",2039,"Progress_Antihypertensive therapy",0.0638756869557883
"HIC",2039,"Progress",0.0628110398005755
"HIC",2039,"Progress_Salt reduction",0.0663630903960117
"HIC",2040,"Aspirational_Antihypertensive therapy",0.0574269415231178
"HIC",2040,"Aspirational",0.05576716426256
"HIC",2040,"Aspirational_Salt reduction",0.0644330902005917
"HIC",2040,"Business as usual",0.0670467818909223
"HIC",2040,"Progress_Antihypertensive therapy",0.0632432796911983
"HIC",2040,"Progress",0.0621544926271119
"HIC",2040,"Progress_Salt reduction",0.0657757517574654
"HIC",2041,"Aspirational_Antihypertensive therapy",0.0568460315919441
"HIC",2041,"Aspirational",0.0551768718631287
"HIC",2041,"Aspirational_Salt reduction",0.0639765660087429
"HIC",2041,"Business as usual",0.0666360426066017
"HIC",2041,"Progress_Antihypertensive therapy",0.0627562681197591
"HIC",2041,"Progress",0.0616450125426763
"HIC",2041,"Progress_Salt reduction",0.0653342298743753
"HIC",2042,"Aspirational_Antihypertensive therapy",0.0563082523188149
"HIC",2042,"Aspirational",0.0546332060751384
"HIC",2042,"Aspirational_Salt reduction",0.0635481038019265
"HIC",2042,"Business as usual",0.066245923831263
"HIC",2042,"Progress_Antihypertensive therapy",0.0622971923320536
"HIC",2042,"Progress",0.0611671465955326
"HIC",2042,"Progress_Salt reduction",0.0649177743822604
"HIC",2043,"Aspirational_Antihypertensive therapy",0.0558406369702921
"HIC",2043,"Aspirational",0.0541619858284397
"HIC",2043,"Aspirational_Salt reduction",0.0631818403286841
"HIC",2043,"Business as usual",0.0659124947570162
"HIC",2043,"Progress_Antihypertensive therapy",0.0618978417462128
"HIC",2043,"Progress",0.0607518787407493
"HIC",2043,"Progress_Salt reduction",0.0645614771421211
"HIC",2044,"Aspirational_Antihypertensive therapy",0.0553990873405638
"HIC",2044,"Aspirational",0.0537193427361647
"HIC",2044,"Aspirational_Salt reduction",0.0628253846975571
"HIC",2044,"Business as usual",0.0655822940911318
"HIC",2044,"Progress_Antihypertensive therapy",0.0615102515222928
"HIC",2044,"Progress",0.0603515202097191
"HIC",2044,"Progress_Salt reduction",0.0642123850949915
"HIC",2045,"Aspirational_Antihypertensive therapy",0.0549458280669205
"HIC",2045,"Aspirational",0.0532681606640888
"HIC",2045,"Aspirational_Salt reduction",0.0624358681328185
"HIC",2045,"Business as usual",0.0652111761913496
"HIC",2045,"Progress_Antihypertensive therapy",0.0610942496991752
"HIC",2045,"Progress",0.0599263295711189
"HIC",2045,"Progress_Salt reduction",0.0638269915370696
"HIC",2046,"Aspirational_Antihypertensive therapy",0.0545194324869253
"HIC",2046,"Aspirational",0.0528433767391916
"HIC",2046,"Aspirational_Salt reduction",0.0620578702281336
"HIC",2046,"Business as usual",0.0648501823181177
"HIC",2046,"Progress_Antihypertensive therapy",0.0606982365001016
"HIC",2046,"Progress",0.0595220184198899
"HIC",2046,"Progress_Salt reduction",0.063453143580456
"HIC",2047,"Aspirational_Antihypertensive therapy",0.0542556171594729
"HIC",2047,"Aspirational",0.0525785306020253
"HIC",2047,"Aspirational_Salt reduction",0.0618470411232167
"HIC",2047,"Business as usual",0.0646580700788348
"HIC",2047,"Progress_Antihypertensive therapy",0.0604726595544355
"HIC",2047,"Progress",0.0592872889726584
"HIC",2047,"Progress_Salt reduction",0.0632479635475218
"HIC",2048,"Aspirational_Antihypertensive therapy",0.0540847670337249
"HIC",2048,"Aspirational",0.0524057240291527
"HIC",2048,"Aspirational_Salt reduction",0.0617320870370971
"HIC",2048,"Business as usual",0.0645617824635429
"HIC",2048,"Progress_Antihypertensive therapy",0.0603423415994673
"HIC",2048,"Progress",0.059148031412908
"HIC",2048,"Progress_Salt reduction",0.0631391540888969
"HIC",2049,"Aspirational_Antihypertensive therapy",0.0539301308091662
"HIC",2049,"Aspirational",0.0522499416394679
"HIC",2049,"Aspirational_Salt reduction",0.06162915892911
"HIC",2049,"Business as usual",0.0644747762042051
"HIC",2049,"Progress_Antihypertensive therapy",0.0602227790274465
"HIC",2049,"Progress",0.0590210021481421
"HIC",2049,"Progress_Salt reduction",0.0630414160801436
"HIC",2050,"Aspirational_Antihypertensive therapy",0.0536964537043776
"HIC",2050,"Aspirational",0.0520185736815993
"HIC",2050,"Aspirational_Salt reduction",0.0614334802839793
"HIC",2050,"Business as usual",0.0642880688125268
"HIC",2050,"Progress_Antihypertensive therapy",0.0600076399708133
"HIC",2050,"Progress",0.0588018546097432
"HIC",2050,"Progress_Salt reduction",0.0628477834324579
"LIC",2019,"Aspirational_Antihypertensive therapy",0.310661133229472
"LIC",2019,"Aspirational",0.310661133229472
"LIC",2019,"Aspirational_Salt reduction",0.310661133229472
"LIC",2019,"Business as usual",0.310661133229472
"LIC",2019,"Progress_Antihypertensive therapy",0.310661133229472
"LIC",2019,"Progress",0.310661133229472
"LIC",2019,"Progress_Salt reduction",0.310661133229472
"LIC",2020,"Aspirational_Antihypertensive therapy",0.308924042404722
"LIC",2020,"Aspirational",0.308924042404722
"LIC",2020,"Aspirational_Salt reduction",0.308924042404722
"LIC",2020,"Business as usual",0.308924042404722
"LIC",2020,"Progress_Antihypertensive therapy",0.308924042404722
"LIC",2020,"Progress",0.308924042404722
"LIC",2020,"Progress_Salt reduction",0.308924042404722
"LIC",2021,"Aspirational_Antihypertensive therapy",0.306775996630266
"LIC",2021,"Aspirational",0.306775996630266
"LIC",2021,"Aspirational_Salt reduction",0.306775996630266
"LIC",2021,"Business as usual",0.306775996630266
"LIC",2021,"Progress_Antihypertensive therapy",0.306775996630266
"LIC",2021,"Progress",0.306775996630266
"LIC",2021,"Progress_Salt reduction",0.306775996630266
"LIC",2022,"Aspirational_Antihypertensive therapy",0.305075836063382
"LIC",2022,"Aspirational",0.305075836063382
"LIC",2022,"Aspirational_Salt reduction",0.305075836063382
"LIC",2022,"Business as usual",0.305075836063382
"LIC",2022,"Progress_Antihypertensive therapy",0.305075836063382
"LIC",2022,"Progress",0.305075836063382
"LIC",2022,"Progress_Salt reduction",0.305075836063382
"LIC",2023,"Aspirational_Antihypertensive therapy",0.301832990142634
"LIC",2023,"Aspirational",0.301832990142634
"LIC",2023,"Aspirational_Salt reduction",0.30331945730173
"LIC",2023,"Business as usual",0.30331945730173
"LIC",2023,"Progress_Antihypertensive therapy",0.30193361437909
"LIC",2023,"Progress",0.30193361437909
"LIC",2023,"Progress_Salt reduction",0.30331945730173
"LIC",2024,"Aspirational_Antihypertensive therapy",0.298436973825097
"LIC",2024,"Aspirational",0.298024710778697
"LIC",2024,"Aspirational_Salt reduction",0.301289571219827
"LIC",2024,"Business as usual",0.301717075468659
"LIC",2024,"Progress_Antihypertensive therapy",0.298702233697185
"LIC",2024,"Progress",0.298558926923319
"LIC",2024,"Progress_Salt reduction",0.301569226736891
"LIC",2025,"Aspirational_Antihypertensive therapy",0.295447655016224
"LIC",2025,"Aspirational",0.294407754516969
"LIC",2025,"Aspirational_Salt reduction",0.29976949795941
"LIC",2025,"Business as usual",0.300871103718765
"LIC",2025,"Progress_Antihypertensive therapy",0.295964987639104
"LIC",2025,"Progress",0.29560134367153
"LIC",2025,"Progress_Salt reduction",0.300489109712017
"LIC",2026,"Aspirational_Antihypertensive therapy",0.290625462292122
"LIC",2026,"Aspirational",0.288836056926764
"LIC",2026,"Aspirational_Salt reduction",0.296575995320778
"LIC",2026,"Business as usual",0.298515491778676
"LIC",2026,"Progress_Antihypertensive therapy",0.291500458436338
"LIC",2026,"Progress",0.290870685036257
"LIC",2026,"Progress_Salt reduction",0.29784132216222
"LIC",2027,"Aspirational_Antihypertensive therapy",0.285633803349701
"LIC",2027,"Aspirational",0.283018634302811
"LIC",2027,"Aspirational_Salt reduction",0.293418961332209
"LIC",2027,"Business as usual",0.296325796346013
"LIC",2027,"Progress_Antihypertensive therapy",0.286997776190204
"LIC",2027,"Progress",0.286070703951195
"LIC",2027,"Progress_Salt reduction",0.295313160589472
"LIC",2028,"Aspirational_Antihypertensive therapy",0.280536326136373
"LIC",2028,"Aspirational",0.277053105920162
"LIC",2028,"Aspirational_Salt reduction",0.29038720257647
"LIC",2028,"Business as usual",0.294368606081809
